time,v_c(20),v_c(50),v_c(80),v_c(100),G_i(20),G_i(50),G_i(80),G_i(100),Na_i(20),Na_i(50),Na_i(80),Na_i(100),Cl_i(20),Cl_i(50),Cl_i(80),Cl_i(100),J_W_A(20),J_W_A(50),J_W_A(80),J_W_A(100),Cl_i(20)-A,Cl_i(50)-A,Cl_i(80)-A,Cl_i(100)-A,Na_i(20)-A,Na_i(50)-A,Na_i(80)-A,Na_i(100)-A,G_i(20)-A,G_i(50)-A,G_i(80)-A,G_i(100)-A,v_c(20)-A,v_c(50)-A,v_c(80)-A,v_c(100)-A,J_W_A(20)-A,J_W_A(50)-A,J_W_A(80)-A,J_W_A(100)-A
10,1.62E-15,1.90E-15,1.79E-15,1.69E-15,13.8799,10.6322,12.2266,13.2591,55.4916,47.7773,50.5058,53.4356,70.1407,60.3404,63.7997,67.5255,1.17E-06,1.88E-07,5.92E-07,3.60E-07,70.4269,60.439,64.0037,67.7833,55.7279,47.8587,50.6743,53.6485,11.3959,9.62343,10.271,10.9343,1.61E-15,1.90E-15,1.78E-15,1.68E-15,1.21E-06,2.09E-07,6.29E-07,9.94E-07
11,1.61E-15,1.89E-15,1.78E-15,1.68E-15,14.1996,10.7503,12.4553,13.5474,55.823,47.89,50.7005,53.714,70.5588,60.4659,64.034,67.872,1.05E-06,1.58E-07,5.28E-07,3.75E-07,70.8856,60.5788,64.2676,68.1668,56.0931,47.9833,50.8937,53.9578,11.506,9.65744,10.3352,11.0264,1.60E-15,1.89E-15,1.78E-15,1.67E-15,1.09E-06,1.78E-07,5.66E-07,8.99E-07
12,1.60E-15,1.89E-15,1.78E-15,1.67E-15,14.4982,10.8628,12.6723,13.8185,56.0805,47.9865,50.8596,53.9348,70.8852,60.5715,64.2242,68.1471,9.57E-07,1.32E-07,4.75E-07,3.87E-07,71.2521,60.6989,64.4875,68.4786,56.3841,48.0919,51.0776,54.2093,11.6017,9.68842,10.3926,11.1074,1.59E-15,1.89E-15,1.77E-15,1.66E-15,9.97E-07,1.53E-07,5.13E-07,8.20E-07
13,1.59E-15,1.89E-15,1.77E-15,1.66E-15,14.7784,10.9703,12.8789,14.0743,56.2766,48.0691,50.9885,54.1071,71.1354,60.6601,64.3771,68.3621,8.80E-07,1.09E-07,4.31E-07,3.97E-07,71.5414,60.8019,64.6699,68.7298,56.613,48.1866,51.2313,54.4119,11.6854,9.71676,10.4442,11.179,1.58E-15,1.89E-15,1.76E-15,1.65E-15,9.20E-07,1.30E-07,4.68E-07,7.55E-07
14,1.59E-15,1.89E-15,1.77E-15,1.66E-15,15.0426,11.0732,13.0762,14.3168,56.4219,48.14,51.0919,54.239,71.3227,60.7341,64.4984,68.527,8.18E-07,9.04E-08,3.93E-07,4.04E-07,71.7669,60.8903,64.8203,68.9301,56.7905,48.2695,51.3591,54.5736,11.759,9.74282,10.4908,11.2425,1.58E-15,1.88E-15,1.76E-15,1.65E-15,8.56E-07,1.11E-07,4.30E-07,7.01E-07
15,1.58E-15,1.89E-15,1.77E-15,1.65E-15,15.2928,11.1721,13.2651,14.5475,56.5256,48.2007,51.1738,54.3374,71.4583,60.7957,64.5931,68.6504,7.67E-07,7.43E-08,3.62E-07,4.11E-07,71.9396,60.9661,64.9437,69.0881,56.9255,48.3422,51.4652,54.7013,11.8242,9.76691,10.5331,11.2994,1.57E-15,1.88E-15,1.76E-15,1.64E-15,8.05E-07,9.53E-08,3.99E-07,6.56E-07
16,1.58E-15,1.88E-15,1.76E-15,1.65E-15,15.5309,11.2673,13.4465,14.768,56.5954,48.2529,51.2375,54.4081,71.5519,60.8467,64.6655,68.7394,7.26E-07,6.07E-08,3.36E-07,4.16E-07,72.0692,61.0311,65.0442,69.2109,57.0259,48.4062,51.5527,54.8005,11.8825,9.78931,10.5718,11.3506,1.57E-15,1.88E-15,1.75E-15,1.64E-15,7.63E-07,8.15E-08,3.72E-07,6.20E-07
17,1.58E-15,1.88E-15,1.76E-15,1.65E-15,15.7587,11.3591,13.6213,14.9793,56.6377,48.2976,51.2862,54.4561,71.6114,60.8886,64.7192,68.8003,6.93E-07,4.91E-08,3.14E-07,4.20E-07,72.1637,61.0869,65.1255,69.3047,57.0979,48.4627,51.6248,54.8764,11.935,9.81025,10.6074,11.3972,1.56E-15,1.88E-15,1.75E-15,1.63E-15,7.30E-07,6.98E-08,3.50E-07,5.90E-07
18,1.57E-15,1.88E-15,1.76E-15,1.64E-15,15.9773,11.4478,13.79,15.1827,56.6579,48.3362,51.3223,54.4854,71.6434,60.923,64.7574,68.8381,6.66E-07,3.93E-08,2.96E-07,4.24E-07,72.2296,61.1348,65.1906,69.3744,57.147,48.5127,51.6838,54.933,11.9829,9.82993,10.6405,11.4398,1.56E-15,1.88E-15,1.75E-15,1.63E-15,7.02E-07,5.98E-08,3.31E-07,5.65E-07
19,1.57E-15,1.88E-15,1.76E-15,1.64E-15,16.1879,11.5337,13.9532,15.3789,56.6603,48.3694,51.3478,54.4995,71.6532,60.9508,64.7826,68.857,6.45E-07,3.10E-08,2.81E-07,4.27E-07,72.2723,61.1759,65.2421,69.4244,57.1776,48.5572,51.7318,54.9736,12.027,9.84851,10.6713,11.4792,1.56E-15,1.88E-15,1.75E-15,1.63E-15,6.80E-07,5.13E-08,3.16E-07,5.45E-07
20,1.57E-15,1.88E-15,1.76E-15,1.64E-15,16.3917,11.617,14.1115,15.5688,56.6484,48.3981,51.3647,54.5012,71.6454,60.9732,64.7971,68.8606,6.28E-07,2.40E-08,2.69E-07,4.29E-07,72.2964,61.2113,65.2822,69.4581,57.1931,48.597,51.7706,55.0013,12.0679,9.86615,10.7002,11.5159,1.56E-15,1.87E-15,1.74E-15,1.63E-15,6.63E-07,4.41E-08,3.03E-07,5.28E-07
21,1.57E-15,1.88E-15,1.76E-15,1.64E-15,16.5892,11.6979,14.2653,15.7531,56.6252,48.423,51.3743,54.4929,71.6234,60.9909,64.8027,68.8517,6.14E-07,1.82E-08,2.59E-07,4.31E-07,72.3054,61.2418,65.3128,69.4786,57.1966,48.6328,51.8018,55.0182,12.1063,9.88297,10.7275,11.5503,1.55E-15,1.87E-15,1.74E-15,1.63E-15,6.48E-07,3.80E-08,2.92E-07,5.15E-07
22,1.57E-15,1.88E-15,1.76E-15,1.64E-15,16.7814,11.7765,14.4151,15.9323,56.5929,48.4447,51.378,54.4765,71.5902,61.0048,64.801,68.8328,6.04E-07,1.32E-08,2.50E-07,4.32E-07,72.3023,61.2681,65.3355,69.4883,57.1905,48.6652,51.8265,55.0266,12.1425,9.89909,10.7534,11.5829,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.37E-07,3.27E-08,2.83E-07,5.04E-07
23,1.57E-15,1.88E-15,1.76E-15,1.64E-15,16.9686,11.8531,14.561,16.107,56.5535,48.4636,51.3768,54.4536,71.5481,61.0154,64.7932,68.8059,5.95E-07,9.03E-09,2.43E-07,4.33E-07,72.2895,61.2908,65.3515,69.4892,57.1765,48.6946,51.8459,55.0278,12.177,9.9146,10.7783,11.614,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.28E-07,2.83E-08,2.76E-07,4.95E-07
24,1.57E-15,1.88E-15,1.76E-15,1.64E-15,17.1515,11.9277,14.7036,16.2776,56.5085,48.4803,51.3716,54.4255,71.4991,61.0232,64.7805,68.7725,5.88E-07,5.54E-09,2.37E-07,4.34E-07,72.2689,61.3104,65.362,69.4829,57.1564,48.7216,51.8608,55.0234,12.2101,9.92959,10.8021,11.6437,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.20E-07,2.45E-08,2.69E-07,4.88E-07
25,1.57E-15,1.88E-15,1.76E-15,1.64E-15,17.3304,12.0006,14.8429,16.4444,56.4591,48.4951,51.3631,54.3934,71.4445,61.0287,64.7639,68.734,5.83E-07,2.61E-09,2.32E-07,4.35E-07,72.242,61.3275,65.3679,69.4708,57.1313,48.7463,51.872,55.0143,12.242,9.94411,10.8251,11.6724,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.14E-07,2.13E-08,2.64E-07,4.82E-07
26,1.57E-15,1.88E-15,1.76E-15,1.64E-15,17.5057,12.0717,14.9792,16.6077,56.4064,48.5082,51.3519,54.3579,71.3857,61.0323,64.7439,68.6915,5.78E-07,1.67E-10,2.28E-07,4.36E-07,72.2102,61.3424,65.37,69.454,57.1023,48.7693,51.8801,55.0014,12.2729,9.95824,10.8474,11.7001,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.10E-07,1.86E-08,2.60E-07,4.77E-07
27,1.57E-15,1.88E-15,1.76E-15,1.64E-15,17.6776,12.1413,15.1128,16.7678,56.351,48.52,51.3385,54.3199,71.3236,61.0343,64.7213,68.6457,5.75E-07,-1.87E-09,2.25E-07,4.36E-07,72.1744,61.3553,65.3688,69.4333,57.0702,48.7907,51.8856,54.9854,12.303,9.97201,10.869,11.7271,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.06E-07,1.63E-08,2.56E-07,4.73E-07
28,1.57E-15,1.88E-15,1.76E-15,1.64E-15,17.8465,12.2094,15.2438,16.9249,56.2937,48.5307,51.3234,54.2798,71.259,61.035,64.6966,68.5974,5.72E-07,-3.56E-09,2.23E-07,4.37E-07,72.1356,61.3667,65.3651,69.4095,57.0356,48.8108,51.889,54.9671,12.3325,9.98548,10.8902,11.7534,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.03E-07,1.44E-08,2.53E-07,4.70E-07
29,1.57E-15,1.88E-15,1.76E-15,1.64E-15,18.0125,12.276,15.3723,17.0793,56.2349,48.5404,51.307,54.2382,71.1925,61.0346,64.6702,68.5472,5.70E-07,-4.95E-09,2.21E-07,4.37E-07,72.0942,61.3768,65.3591,69.3831,56.9992,48.8297,51.8906,54.9467,12.3613,9.99868,10.9109,11.7792,1.55E-15,1.87E-15,1.74E-15,1.62E-15,6.00E-07,1.27E-08,2.51E-07,4.67E-07
30,1.57E-15,1.88E-15,1.76E-15,1.64E-15,18.1758,12.3412,15.4986,17.2311,56.175,48.5494,51.2894,54.1955,71.1247,61.0334,64.6425,68.4956,5.68E-07,-6.10E-09,2.19E-07,4.37E-07,72.051,61.3856,65.3513,69.3548,56.9613,48.8476,51.8908,54.9248,12.3897,10.0116,10.9311,11.8045,1.54E-15,1.87E-15,1.74E-15,1.62E-15,5.98E-07,1.13E-08,2.49E-07,4.65E-07
31,1.57E-15,1.88E-15,1.76E-15,1.64E-15,18.3366,12.4052,15.6226,17.3804,56.1144,48.5577,51.2709,54.1519,71.0559,61.0313,64.6137,68.4429,5.67E-07,-7.03E-09,2.17E-07,4.37E-07,72.0061,61.3935,65.3421,69.3249,56.9222,48.8647,51.8897,54.9016,12.4177,10.0244,10.9511,11.8294,1.54E-15,1.87E-15,1.74E-15,1.62E-15,5.97E-07,1.01E-08,2.47E-07,4.63E-07
32,1.57E-15,1.88E-15,1.76E-15,1.64E-15,18.495,12.468,15.7446,17.5274,56.0533,48.5654,51.2518,54.1077,70.9864,61.0287,64.5842,68.3894,5.66E-07,-7.79E-09,2.16E-07,4.37E-07,71.9601,61.4005,65.3315,69.2936,56.8822,48.8811,51.8877,54.8774,12.4453,10.0369,10.9707,11.854,1.54E-15,1.87E-15,1.74E-15,1.62E-15,5.95E-07,9.15E-09,2.45E-07,4.61E-07
33,1.57E-15,1.88E-15,1.76E-15,1.64E-15,18.6512,12.5295,15.8647,17.6722,55.9919,48.5728,51.2322,54.0631,70.9165,61.0257,64.5541,68.3353,5.65E-07,-8.40E-09,2.16E-07,4.38E-07,71.9131,61.4068,65.32,69.2614,56.8416,48.8968,51.8848,54.8525,12.4725,10.0493,10.9901,11.8782,1.54E-15,1.87E-15,1.74E-15,1.62E-15,5.94E-07,8.30E-09,2.44E-07,4.60E-07
34,1.57E-15,1.89E-15,1.76E-15,1.64E-15,18.8051,12.5899,15.9828,17.8149,55.9304,48.5797,51.2123,54.0182,70.8464,61.0222,64.5235,68.281,5.65E-07,-8.88E-09,2.15E-07,4.38E-07,71.8654,61.4125,65.3076,69.2283,56.8005,48.912,51.8813,54.8269,12.4995,10.0616,11.0092,11.9022,1.54E-15,1.87E-15,1.74E-15,1.62E-15,5.93E-07,7.59E-09,2.43E-07,4.59E-07
35,1.57E-15,1.89E-15,1.76E-15,1.64E-15,18.9571,12.6493,16.0991,17.9556,55.8689,48.5864,51.1921,53.9733,70.7763,61.0185,64.4927,68.2264,5.64E-07,-9.26E-09,2.14E-07,4.38E-07,71.8171,61.4177,65.2946,69.1946,56.759,48.9267,51.8772,54.8009,12.5263,10.0737,11.0281,11.9259,1.54E-15,1.87E-15,1.74E-15,1.61E-15,5.93E-07,6.98E-09,2.42E-07,4.59E-07
36,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.107,12.7075,16.2137,18.0943,55.8075,48.5929,51.1717,53.9283,70.7062,61.0145,64.4618,68.1719,5.64E-07,-9.54E-09,2.14E-07,4.38E-07,71.7686,61.4224,65.2809,69.1603,56.7173,48.9411,51.8727,54.7745,12.5528,10.0856,11.0468,11.9494,1.54E-15,1.87E-15,1.74E-15,1.61E-15,5.92E-07,6.48E-09,2.42E-07,4.58E-07
37,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.255,12.7648,16.3266,18.2312,55.7463,48.5991,51.1513,53.8833,70.6363,61.0104,64.4307,68.1173,5.64E-07,-9.75E-09,2.14E-07,4.38E-07,71.7197,61.4268,65.2668,69.1257,56.6755,48.9551,51.8678,54.7479,12.5791,10.0975,11.0653,11.9727,1.54E-15,1.87E-15,1.74E-15,1.61E-15,5.92E-07,6.05E-09,2.41E-07,4.57E-07
38,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.4012,12.8211,16.438,18.3664,55.6854,48.6052,51.1308,53.8385,70.5666,61.0062,64.3997,68.0629,5.64E-07,-9.90E-09,2.13E-07,4.38E-07,71.6707,61.4308,65.2524,69.0908,56.6337,48.9687,51.8625,54.7211,12.6052,10.1092,11.0837,11.9958,1.54E-15,1.87E-15,1.74E-15,1.61E-15,5.91E-07,5.69E-09,2.41E-07,4.57E-07
39,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.5456,12.8764,16.5477,18.4998,55.6247,48.6113,51.1104,53.7939,70.4973,61.0019,64.3687,68.0088,5.64E-07,-9.99E-09,2.13E-07,4.38E-07,71.6216,61.4345,65.2376,69.0557,56.5918,48.9822,51.8571,54.6942,12.6312,10.1209,11.1019,12.0187,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.91E-07,5.39E-09,2.40E-07,4.56E-07
40,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.6883,12.9308,16.656,18.6315,55.5644,48.6172,51.0901,53.7495,70.4283,60.9976,64.3379,67.9548,5.64E-07,-1.00E-08,2.13E-07,4.38E-07,71.5724,61.438,65.2226,69.0205,56.55,48.9953,51.8515,54.6672,12.6569,10.1324,11.12,12.0415,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.91E-07,5.14E-09,2.40E-07,4.56E-07
41,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.8293,12.9843,16.7628,18.7616,55.5044,48.6231,51.0698,53.7054,70.3597,60.9933,64.3072,67.9012,5.64E-07,-1.01E-08,2.13E-07,4.38E-07,71.5232,61.4413,65.2074,68.9851,56.5082,49.0083,51.8457,54.6402,12.6825,10.1439,11.1379,12.0641,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.93E-09,2.39E-07,4.56E-07
42,1.57E-15,1.89E-15,1.76E-15,1.64E-15,19.9687,13.037,16.8682,18.8901,55.4449,48.6289,51.0497,53.6615,70.2915,60.989,64.2767,67.8479,5.64E-07,-1.00E-08,2.13E-07,4.38E-07,71.474,61.4444,65.192,68.9497,56.4664,49.0211,51.8398,54.6132,12.708,10.1552,11.1557,12.0865,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.76E-09,2.39E-07,4.56E-07
43,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.1065,13.0888,16.9722,19.0171,55.3857,48.6347,51.0297,53.618,70.2237,60.9847,64.2464,67.7949,5.64E-07,-9.99E-09,2.13E-07,4.38E-07,71.4247,61.4473,65.1765,68.9143,56.4248,49.0337,51.8338,54.5862,12.7333,10.1665,11.1734,12.1089,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.62E-09,2.39E-07,4.55E-07
44,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.2428,13.1397,17.0749,19.1426,55.3269,48.6405,51.0099,53.5747,70.1564,60.9805,64.2163,67.7423,5.64E-07,-9.93E-09,2.13E-07,4.38E-07,71.3756,61.4501,65.1609,68.8788,56.3833,49.0462,51.8277,54.5593,12.7584,10.1778,11.191,12.1311,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.50E-09,2.39E-07,4.55E-07
45,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.3776,13.1899,17.1763,19.2667,55.2686,48.6464,50.9903,53.5318,70.0895,60.9764,64.1865,67.6901,5.64E-07,-9.84E-09,2.14E-07,4.38E-07,71.3265,61.4529,65.1453,68.8434,56.342,49.0585,51.8216,54.5324,12.7835,10.1889,11.2084,12.1531,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.41E-09,2.39E-07,4.55E-07
46,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.5109,13.2393,17.2764,19.3894,55.2106,48.6522,50.9709,53.4893,70.0231,60.9723,64.157,67.6382,5.64E-07,-9.75E-09,2.14E-07,4.38E-07,71.2775,61.4555,65.1296,68.8081,56.3009,49.0708,51.8155,54.5056,12.8083,10.2,11.2258,12.1751,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.33E-09,2.39E-07,4.55E-07
47,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.6428,13.288,17.3753,19.5107,55.1531,48.6581,50.9517,53.447,69.9571,60.9684,64.1277,67.5868,5.64E-07,-9.64E-09,2.14E-07,4.38E-07,71.2287,61.458,65.1139,68.7728,56.2599,49.0829,51.8093,54.479,12.8331,10.211,11.243,12.1969,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.90E-07,4.27E-09,2.38E-07,4.55E-07
48,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.7734,13.3359,17.4731,19.6307,55.0961,48.6639,50.9327,53.4052,69.8917,60.9645,64.0987,67.5357,5.65E-07,-9.52E-09,2.14E-07,4.38E-07,71.18,61.4604,65.0982,68.7375,56.2191,49.0949,51.8031,54.4524,12.8577,10.222,11.2602,12.2186,1.54E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.22E-09,2.38E-07,4.55E-07
49,1.57E-15,1.89E-15,1.76E-15,1.64E-15,20.9025,13.3831,17.5696,19.7493,55.0394,48.6698,50.9139,53.3636,69.8266,60.9607,64.07,67.4851,5.65E-07,-9.40E-09,2.14E-07,4.38E-07,71.1315,61.4628,65.0825,68.7024,56.1786,49.1069,51.797,54.426,12.8822,10.2329,11.2773,12.2402,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.18E-09,2.38E-07,4.55E-07
50,1.57E-15,1.89E-15,1.76E-15,1.64E-15,21.0303,13.4296,17.665,19.8667,54.9832,48.6758,50.8953,53.3224,69.7621,60.957,64.0416,67.4348,5.65E-07,-9.26E-09,2.14E-07,4.37E-07,71.0831,61.4651,65.0668,68.6673,56.1382,49.1187,51.7908,54.3996,12.9066,10.2437,11.2942,12.2616,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.15E-09,2.38E-07,4.55E-07
51,1.57E-15,1.89E-15,1.76E-15,1.64E-15,21.1569,13.4754,17.7593,19.9829,54.9274,48.6818,50.8769,53.2816,69.698,60.9534,64.0134,67.385,5.65E-07,-9.13E-09,2.14E-07,4.37E-07,71.0349,61.4673,65.0511,68.6323,56.098,49.1305,51.7847,54.3734,12.9308,10.2545,11.3111,12.283,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.13E-09,2.38E-07,4.55E-07
52,1.57E-15,1.89E-15,1.76E-15,1.64E-15,21.2822,13.5205,17.8525,20.0978,54.8721,48.6878,50.8588,53.2411,69.6344,60.9499,63.9856,67.3355,5.65E-07,-8.99E-09,2.15E-07,4.37E-07,70.9867,61.4696,65.0354,68.5975,56.058,49.1421,51.7786,54.3474,12.955,10.2652,11.3279,12.3042,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.12E-09,2.38E-07,4.55E-07
53,1.57E-15,1.89E-15,1.77E-15,1.64E-15,21.4062,13.565,17.9446,20.2115,54.8171,48.6938,50.8409,53.201,69.5712,60.9466,63.958,67.2865,5.65E-07,-8.85E-09,2.15E-07,4.37E-07,70.9387,61.4717,65.0198,68.5627,56.0182,49.1538,51.7725,54.3214,12.9789,10.2758,11.3446,12.3253,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.11E-09,2.38E-07,4.54E-07
54,1.57E-15,1.89E-15,1.77E-15,1.64E-15,21.529,13.6088,18.0357,20.3241,54.7626,48.6999,50.8231,53.1612,69.5085,60.9433,63.9307,67.2378,5.65E-07,-8.71E-09,2.15E-07,4.37E-07,70.8909,61.4738,65.0042,68.528,55.9786,49.1653,51.7665,54.2956,13.0028,10.2864,11.3612,12.3464,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.11E-09,2.38E-07,4.54E-07
55,1.57E-15,1.89E-15,1.77E-15,1.64E-15,21.6506,13.652,18.1257,20.4355,54.7085,48.7061,50.8056,53.1217,69.4462,60.9402,63.9037,67.1896,5.65E-07,-8.56E-09,2.15E-07,4.37E-07,70.8432,61.4759,64.9886,68.4934,55.9391,49.1768,51.7605,54.27,13.0266,10.297,11.3777,12.3673,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.11E-09,2.38E-07,4.54E-07
56,1.57E-15,1.89E-15,1.77E-15,1.64E-15,21.771,13.6946,18.2148,20.5458,54.6548,48.7123,50.7883,53.0826,69.3843,60.9371,63.877,67.1417,5.66E-07,-8.42E-09,2.15E-07,4.37E-07,70.7956,61.478,64.9731,68.459,55.8999,49.1882,51.7546,54.2444,13.0502,10.3075,11.3941,12.3881,1.53E-15,1.87E-15,1.73E-15,1.61E-15,5.89E-07,4.12E-09,2.38E-07,4.54E-07
